Account UUID,Sf Net Desk Change,Looker Net Desk Change,Sf Looker Difference,Sf Looker Absolute Difference,contract_event_type,step_found,ma_uuid,ma_created,sf_opportunity_id,reservation_uuid,reservation_created,reservation_started_on,reservation_ended_on,reservable
902d82ce-db46-483f-8658-fc2a0985c1e3,0.0,2.0,-2.0,2.0,Contract Sent,OpportunityFoundById,16c631c6-59ca-4156-b6b9-255187b0abdf,2018-07-03 04:59:57.238,MDA2MEcwMDAwMHZqbmNvUUFB,dfd835ba-97bd-4ad7-843b-54fdc0d75623,2018-07-03 06:23:19.688,2018-09-01,,27-125
902d82ce-db46-483f-8658-fc2a0985c1e3,0.0,2.0,-2.0,2.0,Contract Sent,OpportunityFoundById,16c631c6-59ca-4156-b6b9-255187b0abdf,2018-07-03 04:59:57.238,MDA2MEcwMDAwMHZqbmNvUUFB,dfd835ba-97bd-4ad7-843b-54fdc0d75623,2018-07-03 06:23:19.688,2018-09-01,,27-125
902d82ce-db46-483f-8658-fc2a0985c1e3,0.0,2.0,-2.0,2.0,Contract Signed,OpportunityFoundById,16c631c6-59ca-4156-b6b9-255187b0abdf,2018-07-03 04:59:57.238,MDA2MEcwMDAwMHZqbmNvUUFB,dfd835ba-97bd-4ad7-843b-54fdc0d75623,2018-07-03 06:23:19.688,2018-09-01,,27-125
902d82ce-db46-483f-8658-fc2a0985c1e3,0.0,2.0,-2.0,2.0,Contract Signed,OpportunityFoundById,16c631c6-59ca-4156-b6b9-255187b0abdf,2018-07-03 04:59:57.238,MDA2MEcwMDAwMHZqbmNvUUFB,dfd835ba-97bd-4ad7-843b-54fdc0d75623,2018-07-03 06:23:19.688,2018-09-01,,27-125
902d82ce-db46-483f-8658-fc2a0985c1e3,0.0,2.0,-2.0,2.0,Contract Sent,OpportunityFoundById,16c631c6-59ca-4156-b6b9-255187b0abdf,2018-07-03 04:59:57.238,MDA2MEcwMDAwMHZqbmNvUUFB,dfd835ba-97bd-4ad7-843b-54fdc0d75623,2018-07-03 06:23:19.688,2018-09-01,,27-125
902d82ce-db46-483f-8658-fc2a0985c1e3,0.0,2.0,-2.0,2.0,Contract Signed,OpportunityFoundById,16c631c6-59ca-4156-b6b9-255187b0abdf,2018-07-03 04:59:57.238,MDA2MEcwMDAwMHZqbmNvUUFB,dfd835ba-97bd-4ad7-843b-54fdc0d75623,2018-07-03 06:23:19.688,2018-09-01,,27-125
902d82ce-db46-483f-8658-fc2a0985c1e3,0.0,2.0,-2.0,2.0,Contract Signed,OpportunityFoundById,16c631c6-59ca-4156-b6b9-255187b0abdf,2018-07-03 04:59:57.238,MDA2MEcwMDAwMHZqbmNvUUFB,dfd835ba-97bd-4ad7-843b-54fdc0d75623,2018-07-03 06:23:19.688,2018-09-01,,27-125
902d82ce-db46-483f-8658-fc2a0985c1e3,0.0,2.0,-2.0,2.0,Contract Signed,OpportunityFoundById,16c631c6-59ca-4156-b6b9-255187b0abdf,2018-07-03 04:59:57.238,MDA2MEcwMDAwMHZqbmNvUUFB,dfd835ba-97bd-4ad7-843b-54fdc0d75623,2018-07-03 06:23:19.688,2018-09-01,,27-125
902d82ce-db46-483f-8658-fc2a0985c1e3,0.0,2.0,-2.0,2.0,Contract Signed,OpportunityFoundById,16c631c6-59ca-4156-b6b9-255187b0abdf,2018-07-03 04:59:57.238,MDA2MEcwMDAwMHZqbmNvUUFB,dfd835ba-97bd-4ad7-843b-54fdc0d75623,2018-07-03 06:23:19.688,2018-09-01,,27-125
902d82ce-db46-483f-8658-fc2a0985c1e3,0.0,2.0,-2.0,2.0,Contract Signed,OpportunityFoundById,16c631c6-59ca-4156-b6b9-255187b0abdf,2018-07-03 04:59:57.238,MDA2MEcwMDAwMHZqbmNvUUFB,dfd835ba-97bd-4ad7-843b-54fdc0d75623,2018-07-03 06:23:19.688,2018-09-01,,27-125
