Account UUID,Sf Net Desk Change,Looker Net Desk Change,Sf Looker Difference,Sf Looker Absolute Difference
61b2dc4f-fb9d-4f88-8e80-f88bd57b77f3,-4.0,0.0,-4.0,4.0
9d0cbf52-80d0-4f2a-977b-5c2be216d669,-2.0,0.0,-2.0,2.0
97b1f5c7-c0a8-4045-87a7-55600f46cadd,42.0,0.0,42.0,42.0
97b1f5c7-c0a8-4045-87a7-55600f46cadd,42.0,0.0,42.0,42.0
97b1f5c7-c0a8-4045-87a7-55600f46cadd,42.0,181.0,-139.0,139.0
e3deba20-4bf8-4846-89a8-38f615218a67,-2.0,0.0,-2.0,2.0
930e06f0-3bd4-0136-d9fe-0242ac115607,-1.0,0.0,-1.0,1.0
52f7b07e-ee85-4e08-b65d-8042b747ff51,-1.0,0.0,-1.0,1.0
fa8d8360-3c84-0134-fbcf-1af9202c30d3,-1.0,0.0,-1.0,1.0
ebb87450-676f-4b72-9286-2581fca2120c,-16.0,0.0,-16.0,16.0
ee5b3077-3e63-4067-b7c7-8cce3a9263eb,-6.0,0.0,-6.0,6.0
ee5b3077-3e63-4067-b7c7-8cce3a9263eb,-6.0,0.0,-6.0,6.0
ee5b3077-3e63-4067-b7c7-8cce3a9263eb,-6.0,2.0,-8.0,8.0
b90a8187-573e-40fc-8679-4c47dfb0e564,-1.0,0.0,-1.0,1.0
ae753974-f3a5-4681-b563-3d597eed76d7,-2.0,0.0,-2.0,2.0
318eecc4-e745-4782-8fc7-5f30b3068808,-4.0,0.0,-4.0,4.0
654de9c5-f8df-4eea-9a45-a3d53f9dedb4,-31.0,0.0,-31.0,31.0
cb421a09-ce77-4a67-b7c7-147eff972502,-6.0,0.0,-6.0,6.0
105048c1-d4c6-4748-8dad-302e36c375e7,-6.0,0.0,-6.0,6.0
27e05824-1cc3-46ac-8e0d-ed63ed8ab0a6,-6.0,0.0,-6.0,6.0
238df846-c438-450b-8e94-4593c4505a73,-1.0,0.0,-1.0,1.0
5d192b9c-dbfc-4812-882b-fdf734ba7fc2,-2.0,0.0,-2.0,2.0
19c4b877-61ab-49ee-b383-4837e0b70562,-10.0,0.0,-10.0,10.0
63dd7534-6d36-4c72-8125-4db8c14cb5d1,-2.0,0.0,-2.0,2.0
d226787b-f8bd-43fb-af9e-c971236bb5dd,8.0,9.0,-1.0,1.0
d226787b-f8bd-43fb-af9e-c971236bb5dd,8.0,0.0,8.0,8.0
e9cc2f3d-477a-4318-bb2e-18601c5cd9dc,-1.0,0.0,-1.0,1.0
9bb79c20-1697-0136-b0b0-0242ac112111,-6.0,3.0,-9.0,9.0
9bb79c20-1697-0136-b0b0-0242ac112111,-6.0,0.0,-6.0,6.0
80ee5dbb-bbc0-4dec-a052-eb2938c88c67,-31.0,0.0,-31.0,31.0
9ad0a2d0-2b95-0135-c2b8-0242ac113a06,-17.0,0.0,-17.0,17.0
9ad0a2d0-2b95-0135-c2b8-0242ac113a06,-17.0,0.0,-17.0,17.0
c5815b3f-1883-43d5-8808-47ed01a11349,-32.0,0.0,-32.0,32.0
b33741df-8901-4ee1-b715-310081cea718,-1.0,0.0,-1.0,1.0
2ba240dd-f4e4-48a2-8aef-4f4d1f148903,-16.0,0.0,-16.0,16.0
e0b4c48b-e823-41bf-80f2-fadd7e01dee9,0.0,8.0,-8.0,8.0
8c69a470-510f-0136-b98d-0242ac111508,-7.0,0.0,-7.0,7.0
bcf8d8ac-90f5-4f51-b206-42626c22d85e,-1.0,0.0,-1.0,1.0
36a0a000-2914-0135-ea78-0242ac113d07,-2.0,0.0,-2.0,2.0
1bd20137-efc3-49d6-b4f7-99fc2861340b,-3.0,0.0,-3.0,3.0
00a20990-da00-0134-cd52-0242ac112c0a,0.0,0.0,0.0,0.0
00a20990-da00-0134-cd52-0242ac112c0a,0.0,4.0,-4.0,4.0
00a20990-da00-0134-cd52-0242ac112c0a,0.0,0.0,0.0,0.0
2f68f874-1e70-4bbf-8b9d-17c025e54407,-1.0,0.0,-1.0,1.0
a402a640-e426-0135-5fd8-0242ac111c09,-1.0,0.0,-1.0,1.0
78db24b1-1462-43bf-bc95-defb45fe4dc9,-4.0,0.0,-4.0,4.0
ef9f3470-44ac-0135-b5b8-0242ac111311,0.0,1.0,-1.0,1.0
85d8049d-82b8-4b7f-950d-73a37100f38c,0.0,1.0,-1.0,1.0
85d8049d-82b8-4b7f-950d-73a37100f38c,0.0,0.0,0.0,0.0
d4668d02-e870-43ce-8264-a1a2d481dbee,-7.0,0.0,-7.0,7.0
15f4fd20-ca2a-0134-534a-0242ac11350a,-2.0,0.0,-2.0,2.0
fbdba970-3292-0135-aecd-0242ac112612,-11.0,0.0,-11.0,11.0
35e66c50-3a76-0135-e725-0242ac11260c,-1.0,0.0,-1.0,1.0
46bd8ef0-c432-0135-6997-0242ac111c08,-1.0,0.0,-1.0,1.0
9975f944-e810-4e6c-a2f8-b8473cd80e69,-1.0,0.0,-1.0,1.0
1fac7de0-2afd-0136-b78d-0242ac112108,-2.0,0.0,-2.0,2.0
44791460-de47-0135-b9d7-0242ac11150e,0.0,0.0,0.0,0.0
44791460-de47-0135-b9d7-0242ac11150e,0.0,5.0,-5.0,5.0
45eabca0-587c-0136-7286-0242ac11150f,-1.0,0.0,-1.0,1.0
80ed958b-d48c-4341-bed8-cf3501612771,-8.0,0.0,-8.0,8.0
2185dc2b-1043-43e4-b217-cbb96132ef77,-16.0,0.0,-16.0,16.0
7124f81c-e6d4-4104-b478-b7eed2065318,-2.0,0.0,-2.0,2.0
d9e11eee-268f-43f8-8dfe-084cb53ca3b8,-1.0,0.0,-1.0,1.0
e2b922b9-4ed9-4121-b01b-2bf44e2e2734,-2.0,0.0,-2.0,2.0
4cd7bb48-0984-4358-a1e7-2c8aedf6068f,-21.0,0.0,-21.0,21.0
78e4c277-4c16-4486-ba8e-de9f73f82b06,-2.0,0.0,-2.0,2.0
901b1ef8-db11-48ff-8c16-73df8b3ee116,-1.0,0.0,-1.0,1.0
501b2088-c2af-4b69-841f-c6896d0f27ae,-1.0,0.0,-1.0,1.0
cf7dbb9b-b920-45f2-af85-6b178e3d5760,-4.0,0.0,-4.0,4.0
cd67e5b7-8026-4372-be7c-cab6ec2f3457,-6.0,0.0,-6.0,6.0
800478be-d23d-4e0f-bd1d-a80dd9eef9f5,-6.0,0.0,-6.0,6.0
fbc34e50-9184-0135-d1f0-0242ac116708,-1.0,0.0,-1.0,1.0
88041df0-95fc-4a58-8b52-e9c2e9558d03,0.0,0.0,0.0,0.0
88041df0-95fc-4a58-8b52-e9c2e9558d03,0.0,4.0,-4.0,4.0
eb6ba146-b7e6-4184-b3b0-f7bf76f10902,2.0,0.0,2.0,2.0
a345a250-65c2-0136-e740-0242ac111508,1.0,0.0,1.0,1.0
a345a250-65c2-0136-e740-0242ac111508,1.0,1.0,0.0,0.0
943d0940-e417-0134-e842-0242ac112c07,1.0,1.0,0.0,0.0
